,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
43472,41523.0,-1.169190154,-3.605499545,-1.078924044,2.38523385,-1.4055736,-0.157448331,1.799003288,-0.387197557,0.006253981,-0.590308886,-0.247715367,0.128604999,-0.791036198,0.731153627,0.458227231,-0.566284069,0.366173298,-0.646995262,-0.992466669,2.208585781,0.739389734,-0.470486445,-1.136057212,0.469151945,0.25087435,-0.378337789,-0.208264099,0.223163215,1216.0,0
162791,115372.0,-0.356177232,0.63440941,-0.401468505,-0.536572709,1.103695292,-0.708006733,0.841718253,-0.025907056,-0.263123344,-0.552554331,1.181182258,0.750064854,0.179983924,-0.909715811,-0.94291058,0.486300134,0.128977326,0.212220975,0.045663851,-0.027417791,-0.289086052,-0.644506034,0.448771067,0.660655712,-0.383993588,0.087840068,0.13932472,0.032087247,13.48,0
12704,22274.0,1.217837433,-0.039447224,-0.644115162,0.177324277,1.907682429,3.654216503,-0.87243067,0.831571842,1.466914225,-0.34291654,0.750287456,-2.469808172,1.751509731,1.701080945,0.690472251,0.690529705,-0.360207764,0.922932687,-0.409723976,0.007006233,-0.056280296,-0.064006551,-0.12881855,0.948170295,0.661869937,-0.322394258,0.015015299,0.022534069,30.24,0
5938,6559.0,-1.775888561,-0.059785094,2.37132202,-2.62898054,0.151867428,-0.650694834,-0.433331977,0.027176775,3.370020071,-1.221442769,0.471812673,-2.64645999,1.076163458,0.871699649,1.260227706,0.072898921,0.018313215,0.564661989,-0.95752843,0.068145117,-0.097742995,0.610452044,-0.577916896,-0.282702687,0.442634767,0.007669312,0.455482214,0.013437469,14.0,0
115456,73883.0,0.931171573,-1.214582365,0.426115554,-0.551251404,-1.437694783,-0.7832568,-0.403517037,-0.080102774,-0.972015983,0.698113401,1.589486448,-0.135211226,-0.577589471,0.239621389,0.200479652,1.432845537,0.086701823,-1.024794093,0.75629824,0.469075504,0.093000427,-0.415422165,-0.034602898,0.50149156,0.069951991,-0.531904742,-0.038613385,0.050701202,225.0,0
178088,123470.0,-0.578003763,1.471819312,1.136721988,2.311779583,1.175304882,-0.385246678,1.295307082,-0.057290406,-1.87425523,0.554623896,-1.493462848,-1.270510891,-1.113889298,0.494874146,-0.887412906,1.067177218,-1.083248315,-0.092195503,-2.440510825,-0.311407051,0.29883876,0.684246444,-0.352753898,-0.055877139,0.179900844,0.037728894,0.058629996,0.131464805,7.59,0
217754,141019.0,-0.780327312,-0.206126803,0.024874221,-0.764776572,2.328688641,1.234474711,0.652189391,0.246580116,-0.13962556,-0.226501215,0.826940891,0.497329004,-0.636330212,0.281850699,-0.384725248,-0.948050345,0.031458448,-1.379412512,-0.555091846,-0.204254179,-0.064490177,0.128123629,0.422506768,-0.830121929,-0.922268364,0.02299342,-0.079261216,-0.012527245,15.0,0
88122,61996.0,1.481340615,-1.155716201,0.161273097,-1.349545234,-1.202301807,-0.17760796,-1.020708855,-0.005666875,-1.49290957,1.335706445,-1.078710424,-1.328248996,-0.551813203,-0.266502146,0.164840998,-0.872846398,0.954468731,-0.509781426,-0.111722347,-0.405156692,-0.360792171,-0.583891366,0.021763222,-0.475423635,0.384291599,-0.189182845,0.039191424,0.009564219,23.98,0
239286,150034.0,1.765887965,-0.828677721,-0.557861129,0.187153287,-0.667567317,-0.039144037,-0.630085973,0.13074099,0.864415757,0.187136335,0.828606579,0.634508226,-0.377911095,0.228018447,0.285111106,0.782896238,-0.870674564,0.660982746,-0.121417453,0.044845869,0.285681945,0.621190529,0.130846886,0.807750052,-0.42408885,0.585992802,-0.068114548,-0.033344738,115.7,0
15810,27252.0,-25.94243445,14.60199804,-27.36865029,6.378394608,-19.1040334,-4.684806204,-18.26139293,17.05256631,-3.74260501,-8.23372137,4.664836254,-6.52566786,0.923758589,-6.325974612,-0.070223703,-5.838360219,-12.06169571,-4.773348514,0.852969608,1.66730429,1.784315984,-1.917759213,-1.235787439,0.161104732,1.820378041,-0.219359059,1.388785762,0.40680965,99.99,1
10690,18088.0,-12.22402062,3.85415033,-12.46676572,9.648310727,-2.726961321,-4.445610382,-21.92281103,0.320792274,-4.433161658,-11.20140009,9.328799257,-13.10493347,0.888480788,-10.14020034,0.713465393,-10.09867066,-17.50661155,-8.06120799,1.606870033,-2.14718144,-1.159829951,-1.504118882,-19.25432762,0.544866726,-4.781605522,-0.007772281,3.052357687,-0.775035651,1218.89,1
215896,140268.0,1.692916143,-2.047135869,-0.24272174,-0.742562751,-1.810566964,0.215356095,-1.522737083,0.368961232,0.671401913,0.816919137,0.331572346,-1.252049208,-2.61508094,0.002089345,-0.061191524,1.800567676,-0.035693089,-0.106669381,0.644958871,0.243682888,0.383083914,0.536615997,0.140607794,0.711208422,-0.620192442,-0.290079064,-0.021830667,-0.007996263,213.93,0
225009,144060.0,2.209576227,-0.460520569,-2.066689674,-0.575267903,0.1964306,-0.957810167,0.233857759,-0.442742618,-1.199704327,1.111817366,0.333758202,0.834983492,0.808542415,0.466629813,-1.220029331,-1.845124502,-0.276824044,1.106932866,-0.137624303,-0.560353157,-0.234468734,-0.015364129,-0.030071461,-0.426779598,0.294726613,0.836055716,-0.097516206,-0.09409713,10.94,0
14799,26055.0,1.206012559,-0.604314288,-0.777128443,-0.541431432,1.561016512,3.858886087,-0.943360607,0.983756965,0.951568802,-0.360409518,-0.727050649,0.410898815,-0.215985524,-0.33345776,-0.637033619,-0.176406126,-0.194365896,-0.222564066,0.84740685,0.075529659,-0.186726703,-0.428587219,-0.119273388,1.087523952,0.616625971,0.744621919,-0.024675212,0.008570711,40.34,0
100835,67640.0,-0.147138546,-0.595808735,2.959723734,-0.827546887,-1.323802982,0.25331083,-0.625213846,-0.113336676,0.686706941,0.404570097,-1.308806539,-1.152990952,-1.184727641,-1.744869994,-1.393437099,0.343691617,0.753943713,-1.131168701,1.149475511,0.130873792,0.109555432,0.889731375,-0.309267099,0.43367128,-0.061812368,-0.151737724,-0.347551978,-0.421704549,9.6,0
207487,136697.0,-0.568747052,-0.021967494,1.167582074,-2.698509691,0.114297257,-0.290571253,0.625705695,-0.070337439,0.928807942,-1.007386032,0.590505315,0.06319964,-1.199175739,-0.073211774,-0.464180577,0.8423986,-1.368997659,0.721225189,-0.921865553,-0.221548452,0.268185806,0.834447401,-0.152682227,0.79674416,-0.593608138,0.351497482,-0.18218055,-0.071013092,60.0,0
43204,41413.0,-15.14044962,7.378042412,-16.35636736,9.194934914,-13.46616329,-2.958430501,-16.16553862,10.07525395,-7.901821126,-13.00940281,4.828235332,-11.05840142,1.998125576,-8.592047402,0.540385309,-10.6157453,-21.01789834,-8.397393052,3.18355895,-1.691481988,3.147428105,0.341677595,-1.150162471,0.795189735,-0.194542181,0.145963569,-2.458680348,-1.189887881,106.55,1
89919,62786.0,1.272134751,-1.220228752,0.747019133,-1.408330704,-1.548258948,-0.195770279,-1.093189652,0.018884145,-2.181474687,1.476887288,1.852690808,0.552005036,1.436406144,-0.333868621,0.185417193,-0.384174095,0.470454215,-0.217859564,-0.413892732,-0.147741764,-0.223279699,-0.396176595,0.149529516,0.197584246,0.011259709,-0.42083278,0.050058857,0.032220435,80.65,0
150663,93853.0,-5.839191619,7.151532354,-12.81676008,7.031114765,-9.651272168,-2.938427258,-11.54320717,4.843626532,-3.494275725,-13.32078887,8.460244449,-17.00328945,0.101556615,-14.09445166,0.747030766,-12.66169572,-18.91249382,-6.626974845,4.008920742,0.055683881,2.462055911,1.054865184,0.530480596,0.472669814,-0.275997968,0.282435025,0.10488602,0.254417097,316.06,1
26971,34328.0,-1.182843997,1.074108746,1.01302524,-0.234105214,0.312961238,-0.021411472,0.380986106,0.567334199,-0.64506419,-0.69498615,-1.167117386,-0.39690325,-0.282366467,0.575945627,1.144131507,0.168209535,-0.131296168,-0.402889482,0.061121742,0.097213769,-0.159600569,-0.619934829,-0.171513709,-0.783505666,0.342149239,0.307153297,0.127720422,0.025462415,29.92,0
158683,111640.0,-0.234512844,0.876742514,0.061555807,-0.81180596,0.547706869,-0.682065408,0.810193648,0.017613746,0.029743935,0.094461542,0.377289761,0.322843132,-0.788355479,0.373470854,-0.97842158,0.211376079,-0.740200281,-0.069703691,0.303068392,0.062654841,-0.268732673,-0.603553345,0.052569538,-0.368129088,-0.447068532,0.148334093,0.341791798,0.149340505,1.79,0
226818,144811.0,-2.960018749,1.936704142,0.987225574,-1.517931799,-0.386322508,-0.124044381,0.315882524,0.376667879,1.612548041,2.088959276,0.632148213,-0.140391229,-1.209375202,-0.419472482,0.266258525,0.656539213,-1.009250116,0.347593458,-0.121483479,0.995271741,-0.533875635,-0.721883714,-0.268206455,-0.455449733,0.547321834,0.420282027,0.598224929,0.200025767,22.0,0
15539,26931.0,-22.56169926,13.20890428,-24.64381878,6.232531823,-16.90561136,-4.49743872,-16.81018419,14.95510677,-3.871296823,-8.581265516,5.25698761,-7.393614992,0.538800829,-7.577552018,-0.030725532,-6.454783237,-12.84565652,-4.865917737,1.06244185,1.621444225,1.765986636,-1.635516647,-0.998316503,0.138972227,1.55935014,-0.222124517,1.50442466,0.445919826,99.99,1
66947,52291.0,1.50667815,-0.980872538,0.337198419,-1.517888572,-1.317176669,-0.517261292,-1.01157879,-0.092626221,-2.109253151,1.606787997,0.95938429,-0.202659326,0.647286893,-0.166436508,-0.129916353,-0.118869052,0.129320463,0.537133034,0.167931521,-0.3032681,-0.184273274,-0.153959086,-0.017274885,-0.015209176,0.408126652,-0.203531745,0.027603183,0.007213322,10.0,0
233180,147473.0,1.979556498,-0.412021274,-0.440920023,0.380954807,-0.443491764,-0.032946196,-0.644959868,0.044828194,1.411343952,-0.192801896,-1.010788713,0.605883216,0.500995054,-0.282975639,0.537314749,0.063281046,-0.53159367,0.143103927,-0.248742288,-0.164894105,0.191439563,0.788537598,0.139062441,0.636592543,-0.065552507,-0.237790419,0.041474909,-0.029792997,12.99,0
212902,139036.0,-1.537848043,0.357224964,1.241900661,-0.723165096,0.535768704,1.444629849,-0.372687663,1.199986934,-0.051857555,-0.953504593,0.565191496,0.107354605,-1.319662077,0.800066669,1.267209759,-0.199086885,0.122911022,-0.268984439,-0.26127617,0.066975376,0.001224223,-0.205455761,-0.112769949,-1.710003132,0.176080333,-0.269541894,0.223643092,-0.016865359,42.87,0
263859,161146.0,-1.192059276,0.101028267,-2.006454935,-1.57245635,2.292374994,3.771519867,1.237389125,0.757738636,0.461807349,-1.119190347,0.186005496,-0.157506804,-0.461342682,-1.549481581,0.030570069,0.058012986,0.825195454,0.0140156,-0.23942282,-0.004642657,-0.397157949,-0.612397443,0.213644,0.585770619,0.444344814,-0.029417477,0.387518652,0.140995316,266.0,0
185879,126861.0,1.83011779,0.569694713,-0.77701583,4.097789037,0.135672484,-1.086974218,0.652120943,-0.320199483,-1.086534261,1.478526502,-0.638774385,-0.334926442,-1.13868786,0.624953319,-1.350739645,0.091213227,-0.133306506,-0.990101371,-1.618607923,-0.33277393,0.048308897,0.120100107,0.187314107,0.890796157,0.063376399,-0.037897708,-0.072218778,-0.047101044,38.48,0
118416,75071.0,1.17404365,-0.7754506,-0.508039042,-0.889273686,1.279105018,3.8895659,-1.170168926,1.041785358,1.070003113,-0.413588252,-0.569044978,0.396634119,-0.077563775,-0.400649876,-0.107662523,0.212999879,-0.352806096,-0.18279848,0.822808698,0.143188941,-0.258187182,-0.743879369,0.002431891,1.079792754,0.277593491,0.952725854,-0.040529869,0.015902266,56.58,0
142557,84789.0,-1.430863728,-0.802528699,1.1233203,0.389760265,-0.281213534,-0.055123492,1.326232489,0.195699815,-0.54688955,-0.713473761,1.274629078,0.023682135,-1.521696108,0.727242086,0.166504662,0.348037592,-0.566390083,0.216016102,-1.140375643,0.63418429,0.32557547,0.014001845,0.844946016,0.114962885,0.156364811,-0.619437447,-0.120351073,0.035594173,354.33,1
57248,47826.0,-0.887286906,1.390001509,1.21968582,1.661425176,1.009227839,-0.733908445,0.855828927,7.68e-05,-1.275631494,-0.433393926,0.141178993,-0.460348456,-0.367867931,-1.168339418,0.152107631,0.882231824,0.601804858,-0.304092391,-2.191764278,-0.268347371,-0.083734377,-0.346930257,-0.050618707,0.231044425,-0.450759875,-0.376205381,0.034504369,0.15777532,7.58,1
209441,137560.0,2.078289522,0.149326328,-1.727626957,0.40621664,0.432469764,-0.85291287,0.178126151,-0.227692697,0.512364321,-0.375335971,-0.632176127,0.077261806,-0.023579429,-0.828199572,0.219821985,0.336584273,0.459633177,-0.278285665,0.073599467,-0.160017181,-0.369121677,-0.962575962,0.334179638,0.479312463,-0.254352355,0.175269744,-0.063444168,-0.031164589,1.98,0
259381,159088.0,1.797799373,-2.543240282,0.367105709,-1.214674967,-2.435946185,0.744412398,-2.157106092,0.314794612,-0.154605909,1.373906311,-0.052090145,0.341179096,0.901800756,-1.377398835,-1.573185247,-0.163274361,0.300923801,0.911490921,0.105340812,-0.026921043,0.138223357,0.767646633,0.020502644,-0.357814865,-0.484561173,-0.039803022,0.070760687,-0.008143127,197.0,0
118171,74975.0,-12.59551092,-8.301981108,-1.692922919,1.381169458,3.620916172,-3.653565959,-2.813156621,-0.591774858,2.594636043,2.835707615,1.955316068,1.329863841,0.436591272,-0.384671908,1.563643597,1.639758197,-0.825351745,-1.135564303,0.066748007,-6.597263386,-2.342278767,-0.509218752,-4.619082705,0.745077039,-0.778723731,0.734106361,1.095333234,-1.676238014,21.18,0
46301,42722.0,1.132448963,-0.033605502,1.184454119,1.1423547,-0.691832477,0.332172746,-0.614552449,0.21326449,0.532119522,-0.056432963,0.752789601,1.491785301,0.813353638,-0.343225589,-0.5865736,0.332263557,-0.664184511,0.44100467,0.196111645,-0.059313974,-0.022635525,0.144463149,-0.067442289,0.035844152,0.455737654,-0.409125441,0.073382353,0.026675812,9.99,0
261473,160034.0,-2.349339964,1.512604015,-2.647497196,1.753792472,0.40632795,-2.188494005,-0.686934748,-0.547984409,-0.099528113,-1.672345978,2.172976101,-3.103476671,0.217560545,-6.034402576,0.164400706,-2.383826034,-4.166478775,-1.772396947,-0.526280794,-0.093421475,-0.088519421,-0.595178282,0.25814813,0.061901133,-0.354180194,-1.152671066,-0.736072755,0.733702732,4.9,1
249828,154599.0,0.667713641,3.041502376,-5.845111956,5.967587038,0.213863333,-1.462922811,-2.688760584,0.677763512,-3.447595896,-4.707570806,4.905819865,-5.208373972,0.53249838,-10.5440114,-1.307418701,-2.133593488,-5.133081491,-1.062150781,-0.819371096,0.558424598,0.329760146,-0.941383472,-0.006074662,-0.958925352,0.239297865,-0.067355679,0.821047586,0.426175252,6.74,1
226842,144823.0,2.043169419,-0.154545064,-1.190520663,0.231117113,0.011498156,-0.722297902,0.028697198,-0.129505672,0.4043167,0.262535395,0.558538683,0.668898793,-0.628289348,0.584671836,-0.56439623,0.215429833,-0.617115866,-0.188773742,0.56087093,-0.247324939,-0.266756583,-0.699338539,0.297027221,-0.354201586,-0.30795918,0.200612644,-0.079136436,-0.074938283,0.89,0
142113,84581.0,1.246747844,-0.393889532,0.89550762,-0.720208,-1.263336444,-0.837072291,-0.615008841,0.002519406,1.916226051,-1.061500873,-0.549343441,0.40761988,-0.664163341,-0.024887134,1.340991078,-0.411754333,-0.111048579,0.265925523,0.562129102,-0.165564944,-0.019852338,0.162257237,-0.028810454,0.386882809,0.479761275,-0.684167816,0.089562285,0.033903169,1.0,0
16863,28242.0,-2.787247931,-0.071340378,-1.505287775,3.361777137,-3.357421669,0.565834734,0.303653111,0.966914485,-2.245881952,-3.651426569,0.987277022,-3.834781569,-0.961354143,-3.182168085,-1.126002284,-2.954300813,-5.841218002,-2.910430298,-1.155850173,1.607396772,0.882940442,-0.24620193,1.752226785,0.219924965,0.156281695,-0.265894318,0.220694023,0.25607687,730.86,1
80582,58553.0,-1.568870227,-0.294889045,1.82764161,1.192629446,0.192337112,-0.215554952,-1.032265738,0.800060466,-0.271465198,-0.421741568,0.44937822,0.898607,0.292064559,0.237664199,0.078391265,0.274877967,-0.331614033,1.12995697,0.790522462,0.274848707,0.410993329,0.789508373,-0.245873712,0.052784809,-0.182554372,-0.231665735,0.095047052,-0.111017491,1.0,0
278285,168137.0,-2.108624931,1.913474005,-1.328472533,-0.912216039,0.0904772,0.009387394,-0.358517507,1.570753924,-1.119000585,-1.21901118,-0.971252058,1.264551699,0.939498046,1.313715157,-1.327875036,0.647328456,-0.305271575,0.181708172,0.912559976,-0.497785835,0.016679935,-0.575862295,-0.177571039,-1.408928846,0.087885425,0.318041419,-0.853692574,-0.187087809,5.94,0
183106,125658.0,0.224414467,2.994498576,-3.432458196,3.986518932,3.760232949,0.165640146,1.099377709,-0.654557103,-2.435415653,-2.276733073,1.846078517,-1.9611946,-0.851166387,-7.122316384,1.0196049,2.131014672,6.443649145,1.592538191,-3.681903552,-0.200846281,0.491337125,-0.984222623,-0.421979358,-1.048057894,0.72641152,0.268624638,0.283689474,0.419101636,0.0,1
99751,67264.0,-0.473869298,0.803907052,1.265630275,-0.713981525,0.631705884,-0.230937107,0.721498595,0.056272543,-0.694565701,-0.531305658,0.497322788,0.577519866,0.387011172,0.235865894,-0.282194522,0.864588253,-1.228766482,0.316609405,-0.026429878,-0.044880582,-0.13579495,-0.516659007,-0.088694647,-0.510791266,-0.379560683,-0.070618001,0.071823093,0.123598187,8.99,0
223102,143246.0,-1.37730514,-0.372116922,-0.154697662,-4.066555322,1.450542664,3.67084896,-1.195669778,1.4241719,-2.164784308,0.611343006,-0.579700124,-1.042465661,0.184013528,-0.290386967,-0.247293205,-0.248933782,0.291064708,-0.004157866,-0.89816147,-0.333726378,-0.143066862,-0.187122669,-0.109871434,0.670254387,0.738911695,-0.114791285,-0.097715996,0.074404764,6.0,0
251288,155295.0,-1.3847478,-1.573799133,2.244121243,-0.269360412,0.353397648,3.21776058,-0.520332683,0.967100089,1.551888969,-1.041540603,-0.342088552,0.522609968,-0.915089628,-1.187980145,-1.560598288,-0.697246114,0.274539141,-0.280599827,-0.405294069,0.521727505,0.34355119,1.065395025,0.329311807,-0.914508802,-0.235171348,0.514752083,-0.052124619,-0.074424653,225.0,0
109071,71199.0,1.336925816,0.112507407,-0.448308979,-0.348740285,0.387321937,-0.220205212,0.21392186,-0.100335567,-0.274812482,0.024104364,0.398306186,0.651019986,0.424214407,0.493332874,0.22197957,0.692096769,-0.952155631,-0.108218041,1.068402577,0.011754227,-0.472511889,-1.449316434,0.021934393,-0.977356846,0.254117904,0.685695233,-0.106436862,-0.018048258,14.98,0
150684,93888.0,-10.04063146,6.139182715,-12.97297189,7.740555445,-8.684704528,-3.837429167,-11.9077019,5.833273001,-5.731054244,-12.43894491,6.989885613,-16.21861039,0.253303366,-8.728645065,-0.147529091,-14.12985452,-20.68502755,-8.484449057,4.851255137,-0.082275225,2.823431432,1.153005013,-0.56734285,0.843011622,0.549937645,0.113891876,-0.307375,0.061630641,1.0,1
134487,80829.0,-0.546428199,0.893631779,2.772282838,2.443982332,-0.044094674,0.378695513,0.303878077,-0.101584555,-0.561905954,0.514802596,-0.735131777,0.493359799,1.450448133,-0.988971266,-0.28988929,0.089410476,-0.358133429,-0.141902132,-0.011680797,0.115809908,0.00210454,0.388657293,-0.000171395,0.429121125,-0.44834234,-0.062354699,-0.090206832,-0.070519967,7.5,0
9035,12597.0,-2.589617198,7.016714385,-13.70540729,10.34322806,-2.954461035,-3.055115785,-9.301288615,3.349573361,-5.654212026,-11.85386697,11.66920474,-17.22866224,0.055571566,-18.49377336,-0.304172114,-10.62949739,-14.44121113,-5.105486466,1.270226271,1.488855192,1.887737726,0.333998185,0.287659041,-1.186406409,-0.69027267,0.631703772,1.93422076,0.789687172,1.0,1
8845,12095.0,-4.727712656,3.044469102,-5.598354267,5.928190802,-2.190769729,-1.529322966,-4.48742196,0.916391814,-1.307010423,-4.138891214,5.149408783,-11.12401861,0.543067766,-7.840942205,0.743633945,-6.77706924,-9.931765154,-4.093021122,1.504924859,-0.207759445,0.650988236,0.254983289,0.628843469,-0.238128454,-0.671332332,-0.033590063,-1.331777322,0.70569759,30.39,1
9800,14500.0,-4.53865343,-0.672919275,0.93467738,-2.588146731,-3.465291965,1.340717818,-0.027616818,-3.304567928,4.851259682,-2.879613819,-0.29235294,-0.527882252,2.314786515,0.074456587,-2.119204344,-0.490385438,1.005880758,0.261338921,-0.182981531,-2.621126719,2.492448688,-0.383958942,-1.924212667,0.620426428,0.668034337,-0.750027339,1.194459566,-1.043734413,570.49,0
108736,71045.0,1.114129078,0.391474563,0.976529108,2.577161519,-0.317340487,0.122736602,-0.154634978,0.150896308,-0.519808654,0.696935406,0.792607015,0.80299845,-0.310993189,0.112759453,-1.320556146,0.478185895,-0.4828663,-0.169464927,-0.29116787,-0.17244722,-0.240893523,-0.622407115,0.076131707,0.293872148,0.341761338,-0.19631288,0.004736053,0.015772043,3.02,0
37663,39053.0,1.148582239,0.377954904,0.630319228,1.312920767,-0.329124014,-0.695288674,0.131598065,-0.149563286,-0.193523607,-0.007417836,0.436533872,0.921125753,0.849341871,0.205219047,1.048317951,-0.341688992,-0.052979079,-0.80560605,-1.041291987,-0.126450238,0.145253402,0.540571146,-0.027683547,0.635576307,0.559806691,-0.287126836,0.041016542,0.026434487,6.99,0
48753,43773.0,-0.589977098,-0.437334405,1.42708654,-2.291999604,0.348740499,0.007747757,0.122569734,0.032259416,-1.241724669,0.29503212,0.373966896,-0.59316962,-0.850387741,0.102738857,0.065840377,-0.933550272,-0.564064758,1.319157963,-0.924443151,-0.346560339,-0.386952225,-0.715986981,-0.084980582,-0.817015065,-0.351115521,1.214153573,-0.192847249,-0.150602466,24.25,0
146193,87533.0,1.918743386,-0.55763262,-0.399351903,0.477331346,-0.750183952,0.141881482,-1.195188423,0.303586039,1.712742062,-0.480070694,-1.052561142,-0.720927165,-1.017776476,-1.421677263,1.321202931,1.322224366,0.165542146,1.097981455,-0.636425066,-0.138072142,0.127807915,0.416840469,0.223264496,0.320153715,-0.553117185,0.501673247,0.011121086,-0.00177296,33.8,0
245216,152652.0,1.60072693,-1.061420382,-2.591980041,0.877001911,0.058087892,-1.423861026,1.092421597,-0.71287503,-1.344147064,1.058922676,-1.104147689,-0.246073546,-0.127056207,0.874925308,-0.388514405,-2.376353608,0.118929629,0.872568208,-1.220939629,-0.098538178,0.133518636,0.350576857,-0.407639019,0.004528728,0.633530895,-0.223047808,-0.084875824,-0.020660479,315.23,0
112945,72865.0,1.31914073,0.244648335,0.166704988,0.421935187,-0.050779321,-0.507411101,0.06052288,-0.165563476,0.06625459,-0.071599613,-0.924937159,0.219835734,0.701186393,0.141442948,1.066931756,0.536114253,-0.741472545,-0.2981065,0.195409297,-0.050387702,-0.309703592,-0.879328727,0.029793697,-0.454210062,0.337378711,0.145771946,-0.028627238,0.011062469,1.98,0
213554,139302.0,-0.153491334,0.093324135,-0.579497354,0.044533215,0.645916129,-1.213955096,1.689944684,-0.584953244,-0.042108162,-0.947171652,-0.450013158,-0.346472347,0.129491991,-1.115409208,0.731381162,0.025345308,0.375863236,0.806211684,-0.200427618,0.476376084,0.389851529,1.012602321,0.259257516,-0.115646323,-0.30900293,-0.190028828,-0.094846517,-0.07126336,198.6,0
65148,51448.0,1.134290944,0.049473935,0.803818965,1.263731373,-0.686634303,-0.37180182,-0.22633354,0.121566612,0.398672576,0.032618905,0.971351545,0.656439341,-1.350501335,0.377498075,-0.745361363,-0.078625833,-0.183961953,0.022652091,0.270000685,-0.22241799,-0.217385624,-0.542703053,0.067337949,0.481533721,0.399319801,-0.570896665,0.028878132,0.017530053,7.84,0
